participant,gender,session,run,collisions,duration,distance,cumrun,fluency,absorption,flow,pi1,pi2,pi3,comp1,comp2,comp3
1,male,1,1,26,233.6104902,24196.5668,1,4.75,6,5.444444444,5,2,3,NA,NA,NA
1,male,1,2,30,204.8506383,24197.4704,2,4.5,4.6,4.555555556,3,2,2,NA,NA,NA
1,male,1,3,20,190.1886616,24199.0428,3,5.25,5.4,5.333333333,5,3,2,NA,NA,NA
1,male,1,4,13,181.412325,24197.93,4,5,5,5,4,3,2,NA,NA,NA
1,male,1,5,18,188.9266819,24197.888,5,4.25,4.6,4.444444444,4,3,2,3,5,4
1,male,2,1,18,184.5798359,24197.5804,6,4,4.8,4.444444444,3,3,3,NA,NA,NA
1,male,2,2,21,173.1694885,24196.4864,7,5.5,5.6,5.555555556,4,4,3,NA,NA,NA
1,male,2,3,20,187.3441868,24196.8392,8,4,5,4.555555556,4,3,3,NA,NA,NA
1,male,2,4,15,173.9569642,24197.6796,9,5,5.8,5.444444444,5,3,2,NA,NA,NA
1,male,2,5,15,197.1903688,24198.8224,10,3.75,4.2,4,3,3,3,3,5,4
1,male,3,1,21,180.8375054,24196.54,11,4.75,4.6,4.666666667,4,3,3,NA,NA,NA
1,male,3,2,17,183.2856364,24198.2896,12,4.25,5.2,4.777777778,4,4,4,NA,NA,NA
1,male,3,3,8,165.785859,24197.8356,13,6.25,5.6,5.888888889,5,4,3,NA,NA,NA
1,male,3,4,18,179.2005323,24197.238,14,4.5,5.6,5.111111111,4,3,3,NA,NA,NA
1,male,3,5,13,179.3182218,24198.8792,15,5,5,5,3,4,3,3,5,4
1,male,4,1,15,180.2571648,24198.1176,16,5,5,5,4,3,3,NA,NA,NA
1,male,4,2,12,181.800892,24198.0888,17,4.5,4.2,4.333333333,4,3,4,NA,NA,NA
1,male,4,3,15,175.5506545,24197.6692,18,5.25,5,5.111111111,4,4,4,NA,NA,NA
1,male,4,4,12,164.389986,24199.4256,19,5.25,5.4,5.333333333,5,5,4,NA,NA,NA
1,male,4,5,17,171.2143714,24196.5744,20,4.25,4.6,4.444444444,4,4,3,3,5,4
1,male,5,1,14,186.7915351,24198.7576,21,3.75,4.2,4,5,4,4,NA,NA,NA
1,male,5,2,12,170.1837644,24198.3928,22,5,5.4,5.222222222,5,4,4,NA,NA,NA
1,male,5,3,11,172.1652783,24196.8748,23,5.5,5.4,5.444444444,4,3,3,NA,NA,NA
1,male,5,4,15,168.9966098,24197.9228,24,5.5,5.8,5.666666667,4,3,3,NA,NA,NA
1,male,5,5,8,169.0804558,24197.9488,25,5.5,6,5.777777778,4,4,3,3,5,4
1,male,6,1,10,162.5695496,24198.5292,26,5,5.4,5.222222222,4,4,2,NA,NA,NA
1,male,6,2,9,163.5492873,24199.2692,27,5.75,5.8,5.777777778,5,4,2,NA,NA,NA
1,male,6,3,8,165.3240091,24199.4136,28,5.5,5.8,5.666666667,4,4,2,NA,NA,NA
1,male,6,4,10,165.5606374,24198.9296,29,5.25,6,5.666666667,4,4,2,NA,NA,NA
1,male,6,5,5,162.1521939,24198.8036,30,6,6,6,5,4,2,2,5,3
1,male,7,1,12,167.7988725,24198.8716,31,4.5,5.8,5.222222222,4,3,3,NA,NA,NA
1,male,7,2,14,165.5837377,24198.5868,32,5,5.8,5.444444444,4,3,2,NA,NA,NA
1,male,7,3,10,166.6046963,24197.4636,33,5,5.2,5.111111111,3,3,2,NA,NA,NA
1,male,7,4,15,174.1932558,24196.608,34,4.5,5,4.777777778,3,3,2,NA,NA,NA
1,male,7,5,8,168.3529698,24198.31,35,5,5.8,5.444444444,4,4,3,3,5,4
1,male,8,1,13,167.804061,24199.0808,36,4,4.8,4.444444444,4,4,3,NA,NA,NA
1,male,8,2,13,183.0893144,24199.288,37,3,4.2,3.666666667,4,3,3,NA,NA,NA
1,male,8,3,7,172.0222739,24199.7388,38,4.75,5.2,5,5,4,4,NA,NA,NA
1,male,8,4,6,171.6342416,24198.318,39,4.75,5,4.888888889,5,4,4,NA,NA,NA
1,male,8,5,7,166.7735661,24197.282,40,5,5,5,6,5,5,3,5,4
2,male,1,1,23,206.9656904,24197.8764,1,3.5,4.6,4.111111111,5,4,2,NA,NA,NA
2,male,1,2,18,193.3625143,24196.8996,2,4.5,5.6,5.111111111,5,4,1,NA,NA,NA
2,male,1,3,19,178.9287638,24198.6992,3,4,4.6,4.333333333,6,3,1,NA,NA,NA
2,male,1,4,14,187.9822143,24197.2244,4,5.25,5.8,5.555555556,6,5,1,NA,NA,NA
2,male,1,5,19,187.5917987,24196.9096,5,4,4.6,4.333333333,5,5,1,2,3,4
2,male,2,1,22,197.6267743,24197.7032,6,4,4.8,4.444444444,5,4,1,NA,NA,NA
2,male,2,2,14,179.4434209,24197.4372,7,5.25,5.8,5.555555556,6,5,1,NA,NA,NA
2,male,2,3,18,179.5581039,24197.8468,8,4.5,5,4.777777778,6,5,1,NA,NA,NA
2,male,2,4,16,181.3516288,24196.6908,9,4.75,4.8,4.777777778,6,6,1,NA,NA,NA
2,male,2,5,13,188.0654821,24197.7536,10,4.5,5.4,5,5,6,1,2,3,5
2,male,3,1,14,182.6470739,24198.0408,11,4.75,4.8,4.777777778,6,5,1,NA,NA,NA
2,male,3,2,15,192.4952647,24198.8908,12,4.25,5.6,5,6,6,1,NA,NA,NA
2,male,3,3,14,180.3164993,24198.63,13,5,5.8,5.444444444,6,6,1,NA,NA,NA
2,male,3,4,10,164.1254409,24197.966,14,5.25,5.8,5.555555556,6,6,1,NA,NA,NA
2,male,3,5,10,167.418445,24199.3304,15,5,6,5.555555556,6,6,1,3,3,4
2,male,4,1,11,162.547467,24197.5216,16,5,5.8,5.444444444,6,6,1,NA,NA,NA
2,male,4,2,11,165.6326658,24198.4716,17,4.75,5.8,5.333333333,6,6,1,NA,NA,NA
2,male,4,3,12,173.8150422,24197.5152,18,5.25,5.8,5.555555556,6,6,1,NA,NA,NA
2,male,4,4,9,171.0901738,24197.9124,19,5.5,6,5.777777778,6,6,1,NA,NA,NA
2,male,4,5,22,183.2731828,24197.9692,20,4.75,5.2,5,6,6,1,2,3,5
2,male,5,1,10,168.0490912,24196.4284,21,4.5,5,4.777777778,6,5,2,NA,NA,NA
2,male,5,2,11,171.3649061,24196.8952,22,4.25,5,4.666666667,6,6,1,NA,NA,NA
2,male,5,3,15,176.9708065,24197.8588,23,4,4.6,4.333333333,6,6,1,NA,NA,NA
2,male,5,4,11,169.8368424,24198.6316,24,4.75,5.6,5.222222222,6,6,2,NA,NA,NA
2,male,5,5,7,177.3657253,24197.3944,25,5,5.8,5.444444444,6,7,1,2,3,4
2,male,6,1,16,176.9662439,24198.0372,26,4,5.8,5,6,6,2,NA,NA,NA
2,male,6,2,9,177.0889498,24196.9912,27,5,6,5.555555556,6,6,1,NA,NA,NA
2,male,6,3,8,163.2995512,24198.3044,28,5,6,5.555555556,7,7,1,NA,NA,NA
2,male,6,4,7,173.0512255,24199.0092,29,4.25,5,4.666666667,6,6,1,NA,NA,NA
2,male,6,5,10,172.3499785,24197.782,30,4.25,6,5.222222222,6,7,2,2,3,5
2,male,7,1,12,175.4370705,24198.3404,31,4.25,6,5.222222222,6,5,1,NA,NA,NA
2,male,7,2,11,166.8127495,24197.468,32,5,5.8,5.444444444,6,6,1,NA,NA,NA
2,male,7,3,7,162.9751646,24196.5892,33,5,5.8,5.444444444,6,6,1,NA,NA,NA
2,male,7,4,6,172.7148336,24196.6232,34,4.5,5.8,5.222222222,6,6,1,NA,NA,NA
2,male,7,5,9,168.7482768,24198.3532,35,4.25,6,5.222222222,5,5,1,3,4,4
2,male,8,1,9,165.0400353,24196.4228,36,4.75,5.6,5.222222222,6,6,2,NA,NA,NA
2,male,8,2,12,165.5473847,24198.566,37,4.75,6,5.444444444,6,7,2,NA,NA,NA
2,male,8,3,6,167.5621234,24198.2836,38,5.25,6,5.666666667,7,7,2,NA,NA,NA
2,male,8,4,11,174.9638123,24198.8052,39,4,5.8,5,6,5,2,NA,NA,NA
2,male,8,5,13,168.926754,24196.8872,40,4,5.6,4.888888889,6,7,3,5,4,4
3,female,1,1,28,253.9577035,24197.2644,1,3.75,6.4,5.222222222,6,3,3,NA,NA,NA
3,female,1,2,37,220.1373905,24197.8512,2,2.25,5,3.777777778,5,2,2,NA,NA,NA
3,female,1,3,24,225.5895098,24198.2972,3,5.25,5.6,5.444444444,3,2,2,NA,NA,NA
3,female,1,4,22,198.3347896,24197.352,4,5.25,5.4,5.333333333,3,2,1,NA,NA,NA
3,female,1,5,23,214.8346694,24197.1708,5,4.5,5.6,5.111111111,3,2,1,4,3,4
3,female,2,1,28,203.1612482,24198.1488,6,3.5,5,4.333333333,4,1,1,NA,NA,NA
3,female,2,2,25,194.7081447,24197.6796,7,4.25,5.4,4.888888889,4,1,2,NA,NA,NA
3,female,2,3,26,190.438415,24196.422,8,4.5,5.2,4.888888889,4,2,2,NA,NA,NA
3,female,2,4,32,197.9607957,24196.4504,9,4.25,5.2,4.777777778,4,1,2,NA,NA,NA
3,female,2,5,24,198.347691,24196.9704,10,4.25,5.4,4.888888889,4,1,1,1,5,5
3,female,3,1,25,196.7754529,24198.1308,11,4,4.8,4.444444444,3,1,1,NA,NA,NA
3,female,3,2,25,193.7205766,24197.7064,12,3,5,4.111111111,3,1,1,NA,NA,NA
3,female,3,3,21,186.5041487,24196.8704,13,5,5.2,5.111111111,3,1,1,NA,NA,NA
3,female,3,4,17,174.4940888,24199.1524,14,5.25,5.4,5.333333333,3,1,1,NA,NA,NA
3,female,3,5,24,201.3548689,24197.1132,15,3.25,4.4,3.888888889,2,1,1,3,5,4
3,female,4,1,20,188.1767838,24197.6284,16,5.25,5.2,5.222222222,3,1,1,NA,NA,NA
3,female,4,2,15,191.0333768,24196.586,17,5,5.6,5.333333333,4,1,1,NA,NA,NA
